ParticipantID,BlockID,x,z
1,3,-7.823037,-11.09183
1,3,-7.823037,-11.09183
1,3,-7.823037,-11.09183
1,3,-7.823037,-11.09183
1,3,-7.823037,-11.09183
1,3,-7.823037,-11.09183
1,3,-7.823037,-11.09183
1,3,-7.823037,-11.09183
1,3,-7.823037,-11.12189
1,3,-7.823037,-11.19677
1,3,-7.823037,-11.19677
1,3,0,0
1,3,0,0
1,3,0,0
1,3,0,0
1,3,0,0
1,3,0,0
1,3,0,0
1,3,0,0
1,3,0,0
1,3,0,0
1,3,0,0
1,3,0,0
1,3,0,0
1,3,0,0
1,3,0,0
1,3,0,0
1,3,0,0
1,3,0,0
1,3,0,0
1,3,-0.3830853,0.3080792
1,3,-0.9386392,0.8636327
1,3,-1.494193,1.339628
1,3,-2.049746,1.744088
1,3,-2.605299,1.875659
1,3,-3.160853,1.827178
1,3,-3.771962,1.67031
1,3,-4.327517,1.52229
1,3,-4.88307,1.400864
1,3,-5.438624,1.399745
1,3,-5.994177,1.399745
1,3,-6.549731,1.399745
1,3,-7.105284,1.399693
1,3,-7.660838,1.325657
1,3,-8.216392,1.224909
1,3,-8.771945,1.123734
1,3,-9.327498,1.022559
1,3,-9.883052,0.9213834
1,3,-10.43861,0.8224683
1,3,-10.99416,0.7280869
1,3,-11.54971,0.6444554
1,3,-12.10527,0.5970769
1,3,-12.66082,0.5970769
1,3,-13.21637,0.7345982
1,3,-13.33799,0.839931
1,3,-13.33799,0.839931
1,3,-13.33799,0.839931
1,3,-13.33799,0.839931
